Arrangement Number,Country Name,Country Code,Arrangement Type,Approval Date,Approval Year,Initial End date,Initial End Year,Duration Of Annual Arrangement From,Duration Of Annual Arrangement To,Program Type,Review Type,Review Sequence,Doc. Num,Facilitycode,Inipgmyr,Fycy,Totalaccess,Precautionary,Purchase,Purchaseschedule,Setaside,Comments,Sort
69,CROATIA                            ,960,SBA  ,10/14/1994,1994,4/13/1996,1996,NULL,NULL,P1,OC  ,L,EBS /95/133,NO FACILITY,1994,CY,65.4,NULL,Yes,Original,NULL,"In addition to purchase under SBA, there is a scheduled SDR 65.4 million STF purchase on approval and SDR 65.4 million STF purchase  subject to observance of end-94 p.c. and completion of 1st review. STF purchases made on 10/14/94 and 4/10/95. 2nd review never completed because of hostilities (and lack of implementation of prior actions) and a change in government. It was decided to focus on a new arrangement for 1996.",0
69,CROATIA                            ,960,SBA  ,10/14/1994,1994,4/13/1996,1996,NULL,NULL,P1,R1  ,BLANK,EBS /95/ 36,STF,1994,CY,65.4,NULL,Yes,Original,NULL,"In addition to purchase under SBA, there is a scheduled SDR 65.4 million STF purchase on approval and SDR 65.4 million STF purchase  subject to observance of end-94 p.c. and completion of 1st review.",1
199,CROATIA                            ,960,EFF  ,3/12/1997,1997,3/11/2000,2000,NULL,NULL,P1,OldBoardApproval,E,EBS/97/9,NO FACILITY,1997,CY,353.16,NULL,Yes,Original,NULL,NULL,-1
199,CROATIA                            ,960,EFF  ,3/12/1997,1997,3/11/2000,2000,NULL,NULL,P1,OC  ,L,EBS/97/149,NO FACILITY,1997,CY,353.16,NULL,Yes,Original,NULL,"After completion of  1st review on 10/10/97, authorities decided for political reasons not to draw the resources and canceled the EFF.",0
199,CROATIA                            ,960,EFF  ,3/12/1997,1997,3/11/2000,2000,NULL,NULL,P1,R1  ,BLANK,EBS/97/115,NO FACILITY,1997,CY,353.16,NULL,Yes,Original,NULL,"After completion of  1st review on 10/10/97, authorities decided for political reasons not to draw the resources and canceled the EFF.",1
393,CROATIA                            ,960,SBA  ,3/19/2001,2001,5/18/2002,2002,NULL,NULL,P1,OldBoardApproval,E,EBS/01/27,NO FACILITY,2001,CY,200,NULL,No ,Original,NULL,The authorities plan to treat the arrangement as  precautionary.,-1
393,CROATIA                            ,960,SBA  ,3/19/2001,2001,5/18/2002,2002,NULL,NULL,P1,OC  ,L,,NO FACILITY,2001,CY,200,NULL,No ,Revised ,NULL,"Due to delay in completing 1st review, the authorities requested an extension of the program period by one quarter to end-March 2002, with no extension of the arrangement period.   Program outcome is reported in accordance with SM/02/230 and EBS/03/4 Board documents.",0
393,CROATIA                            ,960,SBA  ,3/19/2001,2001,5/18/2002,2002,NULL,NULL,P1,R1  ,BLANK,EBS/01/163,NO FACILITY,2001,CY,200,NULL,No ,Revised ,NULL,"Due to delay in completing 1st review, the authorities requested an extension of the program period by one quarter to end-March 2002, with no extension of the arrangement period.",1
393,CROATIA                            ,960,SBA  ,3/19/2001,2001,5/18/2002,2002,NULL,NULL,P1,R2  ,BLANK,EBS/02/47,NO FACILITY,2001,CY,200,NULL,No ,Revised ,NULL,"Due to delay in completing 1st review, the authorities requested an extension of the program period by one quarter to end-March 2002, with no extension of the arrangement period.",2
5,CZECH REPUBLIC                     ,935,SBA  ,3/17/1993,1993,3/16/1994,1994,3/17/1993,3/16/1994,P1,OldBoardApproval,E,EBS /93/ 27,NO FACILITY,1993,CY,177,NULL,Yes,Original,NULL,"Arrangement was expected by the authorities to be mostly precautionary.  Only one purchase was made under the arrangement, after Board approval, and an early repurchase of this amount was effected in 9/93.  Please see submission for further information.",-1
5,CZECH REPUBLIC                     ,935,SBA  ,3/17/1993,1993,3/16/1994,1994,3/17/1993,3/16/1994,P1,OC  ,L,SM  /94/180,NO FACILITY,1993,CY,177,NULL,Yes,Original,NULL,"The arrang.was expected by the authorities to be mainly precautionary. Only one purchase was made following Board approval, and an early repurchase of this amount was effected in Sept. 1993.",0
5,CZECH REPUBLIC                     ,935,SBA  ,3/17/1993,1993,3/16/1994,1994,3/17/1993,3/16/1994,P1,R1  ,BLANK,EBS /93/107,NO FACILITY,1993,CY,177,NULL,Yes,Original,NULL,NULL,1
5,CZECH REPUBLIC                     ,935,SBA  ,3/17/1993,1993,3/16/1994,1994,3/17/1993,3/16/1994,P1,R2  ,BLANK,EBS /93/205,NO FACILITY,1993,CY,177,NULL,Yes,Original,NULL,NULL,2
144,DJIBOUTI                           ,611,SBA  ,4/15/1996,1996,6/14/1997,1997,4/15/1996,6/14/1997,P1,OldBoardApproval,E,EBS /96/53,NO FACILITY,1996,CY,4.6,NULL,Yes,Original,NULL,CPI data is annual averages.,-1
144,DJIBOUTI                           ,611,SBA  ,4/15/1996,1996,3/31/1998,1998,4/15/1996,3/31/1998,P1,R1  ,BLANK,EBS/97/82,NO FACILITY,1996,CY,6.6,NULL,Yes,Revised ,NULL,1st review: the SBA was extended from 6/14/97 to 3/31/98.  Access was augmented by SDR 2 million from 4.6 to 6.6.  Purchases were rephased.  Note: CPI data are annual averages.,1
144,DJIBOUTI                           ,611,SBA  ,4/15/1996,1996,3/31/1999,1999,4/15/1996,3/31/1999,P1,R2  ,BLANK,EBS/98/82,NO FACILITY,1996,CY,8.245,NULL,Yes,Revised ,NULL,1st review: the SBA was extended from 6/14/97 to 3/31/98.  Access was augmented by SDR 2 million from 4.6 to 6.6.  Purchases were rephased.  2nd review: SBA was extended from 6/30/98 to 3/31/99 after being extended from 3/31/98. Access was augemented by SDR 1.65 mil from SDR 6.6 mil (to SDR 8.245). Purchases were rephased. Note: CPI data are annual averages. ,2
144,DJIBOUTI                           ,611,SBA  ,4/15/1996,1996,3/31/1999,1999,4/15/1996,3/31/1999,P1,R3  ,L,EBS/98/228,NO FACILITY,1996,CY,8.245,NULL,Yes,Revised ,NULL,1st review: the SBA was extended from 6/14/97 to 3/31/98.  Access was augmented by SDR 2 million from 4.6 to 6.6.  Purchases were rephased.  2nd review: SBA was extended from 6/30/98 to 3/31/99 after being extended from 3/31/98. Access was augemented by SDR 1.65 mil from SDR 6.6 mil (to SDR 8.245). Purchases were rephased. Note: CPI data are annual averages.,3
322,DJIBOUTI                           ,611,PRGF ,10/18/1999,1999,10/17/2002,2002,NULL,NULL,P1,OldBoardApproval,E,EBS/99/190,NO FACILITY,1999,CY,19.082,NULL,Yes,Original,NULL,NULL,-1
322,DJIBOUTI                           ,611,PRGF ,10/18/1999,1999,10/17/2002,2002,NULL,NULL,P1,R1  ,BLANK,EBS/00/135,NO FACILITY,1999,CY,19.082,NULL,Yes,Original,NULL,NULL,1
322,DJIBOUTI                           ,611,PRGF ,10/18/1999,1999,10/17/2002,2002,NULL,NULL,P1,R2  ,BLANK,EBS/01/188,NO FACILITY,1999,CY,19.082,NULL,Yes,Revised ,NULL,The second review was delayed approximately one year to allow the government to introduce the necessary measures to bring the program back on track.,2
322,DJIBOUTI                           ,611,PRGF ,10/18/1999,1999,1/17/2003,2003,NULL,NULL,P1,R3  ,L,EBS/02/212,NO FACILITY,1999,CY,19.082,NULL,Yes,Revised ,NULL,"The second review was delayed approximately one year to allow the government to introduce the necessary measures to bring the program back on track.  On October 3, 2002, the Executive Board extended the 3-year arrangement period by three months to 1/17/03 to allow for the completion of the third review.  However, staff believes that the fourth review cannot be completed, and would not recommend a further extension of the PRGF arrangement.",3
6,DOMINICAN REPUBLIC                 ,243,SBA  ,7/9/1993,1993,3/28/1994,1994,7/9/1993,3/28/1994,P1,OldBoardApproval,E,EBS /93/ 97,CCFF,1993,CY,31.8,NULL,Yes,Original,NULL,NULL,-1
6,DOMINICAN REPUBLIC                 ,243,SBA  ,7/9/1993,1993,3/28/1994,1994,7/9/1993,3/28/1994,P1,R1  ,L,EBS /93/188,NO FACILITY,1993,CY,31.8,NULL,Yes,Original,NULL,NULL,1
39,ECUADOR                            ,248,SBA  ,5/11/1994,1994,3/31/1996,1996,5/11/1994,5/10/1995,P1,OldBoardApproval,E,EBS /94/88,NO FACILITY,1994,CY,130,NULL,Yes,Original,NULL,The total access amount was augmented in 12/1994 from SDR 130 mn to 173.9 in support of release of set-asides for debt and debt service reduction with commercial creditors.  Only one disbursement on 12/1/1994 in the amount of SDR 98.9 million was made for this arrangement.  ,-1
39,ECUADOR                            ,248,SBA  ,5/11/1994,1994,12/11/1995,1995,5/11/1994,5/10/1995,P1,OC  ,L,SM/95/91,NO FACILITY,1994,CY,173.9,NULL,Yes,Revised ,25,The total access amount was augmented from SDR 130 mn to 173.9 in support of release of set-asides for debt and debt service reduction with commercial creditors. Later no longer possible to achieve original objectives of program and arrangement was cancelled in 12/95. Staff monitored program followed.,0
39,ECUADOR                            ,248,SBA  ,5/11/1994,1994,3/31/1996,1996,5/11/1994,5/10/1995,P1,R1  ,BLANK,EBS /94/214,NO FACILITY,1994,CY,173.9,NULL,Yes,Revised ,25,The total access amount was augmented from SDR 130 mn to 173.9 in 12/1994.,1
390,ECUADOR                            ,248,SBA  ,4/19/2000,2000,4/18/2001,2001,NULL,NULL,P1,OldBoardApproval,E,EBS/00/66,NO FACILITY,2000,CY,226.73,NULL,Yes,Original,NULL,NULL,-1
390,ECUADOR                            ,248,SBA  ,4/19/2000,2000,4/18/2001,2001,NULL,NULL,P1,R1  ,BLANK,EBS/00/164,NO FACILITY,2000,CY,226.73,NULL,Yes,Revised ,NULL,"1st review has been delayed due to ministerial changes in the government. Accordingly, authorities request cancelation of third purchase, together with its review, initially scheduled for end-August 2000, and equally divide the amount of this purchase into three remaining purchases.",1
390,ECUADOR                            ,248,SBA  ,4/19/2000,2000,12/31/2001,2001,NULL,NULL,P1,R2  ,BLANK,EBS/01/72,NO FACILITY,2000,CY,226.73,NULL,Yes,Revised ,NULL,"1st review has been delayed due to ministerial changes in the government. Accordingly, authorities request cancelation of third purchase, together with its review, initially scheduled for end-August 2000, and equally divide the amount of this purchase into three remaining purchases.  2nd review has been delayed due to policy slippages, including the failure ro implement some structural PCs relating to banking sector reform.  Authorities requested 7-month extension of the arrangement to December 31, 2001, and that the schedule of remaining purchase be rephased.",2
390,ECUADOR                            ,248,SBA  ,4/19/2000,2000,12/31/2001,2001,NULL,NULL,P1,R3  ,BLANK,EBS/01/200,NO FACILITY,2000,CY,226.73,NULL,Yes,Revised ,NULL,"1st review has been delayed due to ministerial changes in the government. Accordingly, authorities request cancelation of third purchase, together with its review, initially scheduled for end-August 2000, and equally divide the amount of this purchase into three remaining purchases.  2nd review has been delayed due to policy slippages, including the failure ro implement some structural PCs relating to banking sector reform.  Authorities requested 7-month extension of the arrangement to December 31, 2001, and that the schedule of remaining purchase be rephased.  3rd and 4th reviews combined due to difficulties in compiling the data necessary to ascertain compliance with the fiscal PCs.",3
390,ECUADOR                            ,248,SBA  ,4/19/2000,2000,12/31/2001,2001,NULL,NULL,P1,R4  ,L,EBS/01/200,NO FACILITY,2000,CY,226.73,NULL,Yes,Revised ,NULL,"1st review has been delayed due to ministerial changes in the government. Accordingly, authorities request cancelation of third purchase, together with its review, initially scheduled for end-August 2000, and equally divide the amount of this purchase into three remaining purchases.  2nd review has been delayed due to policy slippages, including the failure ro implement some structural PCs relating to banking sector reform.  Authorities requested 7-month extension of the arrangement to December 31, 2001, and that the schedule of remaining purchase be rephased.  3rd and 4th reviews combined due to difficulties in compiling the data necessary to ascertain compliance with the fiscal PCs.",4
9,EGYPT                              ,469,EFF  ,9/20/1993,1993,9/19/1996,1996,9/20/1993,9/20/1994,P1,OldBoardApproval,L,EBS /93/139,NO FACILITY,1993,FY,400,NULL,No ,NULL,NULL,NULL,-1
200,EGYPT                              ,469,SBA  ,10/11/1996,1996,9/30/1998,1998,NULL,NULL,P1,OldBoardApproval,E,EBS/96/149,NO FACILITY,1997,FY,271.4,NULL,No ,Original,NULL,NULL,-1
200,EGYPT                              ,469,SBA  ,10/11/1996,1996,9/30/1998,1998,NULL,NULL,P1,R1  ,BLANK,EBS/97/47,NO FACILITY,1997,FY,271.4,NULL,No ,Original,NULL,NULL,1
200,EGYPT                              ,469,SBA  ,10/11/1996,1996,9/30/1998,1998,NULL,NULL,P1,R2  ,BLANK,EBS/97/116,NO FACILITY,1997,FY,271.4,NULL,No ,Original,NULL,NULL,2
200,EGYPT                              ,469,SBA  ,10/11/1996,1996,9/30/1998,1998,NULL,NULL,P1,R3  ,BLANK,EBS/97/238,NO FACILITY,1997,FY,271.4,NULL,No ,Original,NULL,The 3rd and 4th reviews were combined and held on 1/7/98.,3
200,EGYPT                              ,469,SBA  ,10/11/1996,1996,9/30/1998,1998,NULL,NULL,P1,R4  ,BLANK,EBS/97/238,NO FACILITY,1997,FY,271.4,NULL,No ,Original,NULL,The 3rd and 4th reviews were combined and held on 1/7/98.,4
200,EGYPT                              ,469,SBA  ,10/11/1996,1996,9/30/1998,1998,NULL,NULL,P1,R5  ,BLANK,EBS/98/107,NO FACILITY,1997,FY,271.4,NULL,No ,Original,NULL,The 3rd and 4th reviews were combined and held on 1/7/98. The 5th and 6th reviews were combined at the authorities' request and held on 7/6/98.,5
200,EGYPT                              ,469,SBA  ,10/11/1996,1996,9/30/1998,1998,NULL,NULL,P1,R6  ,BLANK,EBS/98/107,NO FACILITY,1997,FY,271.4,NULL,No ,Original,NULL,The 3rd and 4th reviews were combined and held on 1/7/98. The 5th and 6th reviews were combined at the authorities' request and held on 7/6/98.,6
200,EGYPT                              ,469,SBA  ,10/11/1996,1996,9/30/1998,1998,NULL,NULL,P1,R7  ,L,EBS/98/161,NO FACILITY,1997,FY,271.4,NULL,No ,Original,NULL,The 3rd and 4th reviews were combined and held on 1/7/98. The 5th and 6th reviews were combined at the authorities' request and held on 7/6/98.,7
15,EL SALVADOR                        ,253,SBA  ,5/10/1993,1993,3/9/1994,1994,5/10/1993,3/9/1994,P1,OldBoardApproval,E,EBS/93/61,NO FACILITY,1993,CY,34.55,NULL,Yes,Original,NULL,"Although the arrangement is not formally precautionary, no purchase was made after Board approval.  ",-1
15,EL SALVADOR                        ,253,SBA  ,5/10/1993,1993,3/9/1994,1994,5/10/1993,3/9/1994,P1,R1  ,BLANK,EBS/93/147,NO FACILITY,1993,CY,34.55,NULL,Yes,Original,NULL,So far the authorities have treated the arrangement as precautionary.,1
15,EL SALVADOR                        ,253,SBA  ,5/10/1993,1993,12/31/1994,1994,5/10/1993,3/9/1994,P1,R2  ,L,EBS/94/177,NO FACILITY,1994,CY,47.11,NULL,No ,Revised ,NULL,"Although the arrangement is not formally precautionary, no purchase was made after Board approval.  On 3/2/94 the SBA was extended through end-94, and access was increased to SDR 47.11 mn, with an additional review for mid-July 94.  A new p.c. on NFPS saving was included + existing p.c. on external arrears dropped.  See EBS/94/18.",2
91,EL SALVADOR                        ,253,SBA  ,7/21/1995,1995,9/20/1996,1996,7/21/1995,9/20/1996,P1,OldBoardApproval,E,EBS /95/107,NO FACILITY,1995,CY,37.68,NULL,No ,Original,NULL,NULL,-1
91,EL SALVADOR                        ,253,SBA  ,7/21/1995,1995,9/20/1996,1996,7/21/1995,9/20/1996,P1,OC  ,L,EBS /97/21,NO FACILITY,1995,CY,37.68,NULL,No ,Original,NULL,Economic program for 1995-96 envisaged eventual move to a fixed exchange rate system under currency board or replacing domestic currency with US$.  But plans shelved as measures to encourage holdings of foreign currency assets did not work.,0
91,EL SALVADOR                        ,253,SBA  ,7/21/1995,1995,9/20/1996,1996,7/21/1995,9/20/1996,P1,R1  ,BLANK,EBS /96/ 42,NO FACILITY,1995,CY,37.68,NULL,No ,Original,NULL,Economic program for 1995-96 envisaged eventual move to a fixed exchange rate system under currency board or replacing domestic currency with US$.  But plans shelved as measures to encourage holdings of foreign currency assets did not work.,1
220,EL SALVADOR                        ,253,SBA  ,2/28/1997,1997,4/27/1998,1998,NULL,NULL,P1,OldBoardApproval,E,EBS/97/21,NO FACILITY,1997,CY,37.68,NULL,No ,Original,NULL,NULL,-1
220,EL SALVADOR                        ,253,SBA  ,2/28/1997,1997,5/30/1998,1998,NULL,NULL,P1,OC  ,L,EBS/98/163,NO FACILITY,1997,CY,37.68,NULL,No ,Revised ,NULL,"1st review: Arrangement extended to 5/30/98 (from 4/27/98). Purchases also rephased with previous 9/97, 12/97, and 4/98 purchases combined in 5/98. Arrangement precautionary; no purchases made to date.",0
220,EL SALVADOR                        ,253,SBA  ,2/28/1997,1997,5/30/1998,1998,NULL,NULL,P1,R1  ,BLANK,EBS/98/19,NO FACILITY,1997,CY,37.68,NULL,No ,Revised ,NULL,"1st review: Arrangement extended to 5/30/98 (from 4/27/98). Purchases also rephased with previous 9/97, 12/97, and 4/98 purchases combined in 5/98. Arrangement precautionary; no purchases made to date.",1
293,EL SALVADOR                        ,253,SBA  ,9/23/1998,1998,2/22/2000,2000,NULL,NULL,P1,OldBoardApproval,L,EBS/98/163,NO FACILITY,1998,CY,37.68,NULL,No ,Original,NULL,"Reviews never took place because of the uncertainties associated with developments in emerging markets, the political transition to a new administration, the adverse effects of Hurricane Mitch, and the drop in coffee prices.  ",-1
8,EQUATORIAL GUINEA                  ,642,ESAF ,2/3/1993,1993,2/2/1996,1996,2/3/1993,2/2/1994,P1,OldBoardApproval,E,EBS/93/6,NO FACILITY,1993,CY,12.88,NULL,Yes,Original,NULL,Mid-term review of first annual arrangement was not completed as program went off track.,-1
8,EQUATORIAL GUINEA                  ,642,ESAF ,2/3/1993,1993,2/2/1996,1996,2/3/1993,2/2/1994,P1,OC  ,L,EBS /94/55,NO FACILITY,1993,CY,12.88,NULL,Yes,Revised ,NULL,NULL,0
8,EQUATORIAL GUINEA                  ,642,ESAF ,2/3/1993,1993,2/2/1996,1996,2/10/1993,2/10/1994,P1,R1  ,BLANK,EBS/94/55,NO FACILITY,1993,CY,12.88,NULL,NULL,Original,NULL,Mid-term review not completed.  Scheduled disbursement for 9/93 cancelled.  Program veered quickly off-track.,1
138,EQUATORIAL GUINEA                  ,642,ESAF ,2/3/1993,1993,2/2/1996,1996,5/2/1994,5/1/1995,P2,OldBoardApproval,E,EBS /94/55,NO FACILITY,1994,CY,12.88,NULL,Yes,Revised ,NULL,NULL,-1
138,EQUATORIAL GUINEA                  ,642,ESAF ,2/3/1993,1993,2/2/1996,1996,5/2/1994,5/1/1995,P2,OC  ,L,SM/95/262,NO FACILITY,1994,CY,12.88,NULL,Yes,Revised ,NULL,Program went off track soon after approval of 2nd annual arrangement with targets missed and review never completed.,0
7,ESTONIA                            ,939,SBA  ,10/27/1993,1993,3/27/1995,1995,10/27/1993,10/26/1994,P1,OldBoardApproval,E,EBS /93/166,STF,1993,CY,11.63,NULL,Yes,Original,NULL,NULL,-1
7,ESTONIA                            ,939,SBA  ,10/27/1993,1993,3/27/1995,1995,10/27/1993,10/26/1994,P1,OC  ,L,EBS/95/37,STF,1993,CY,11.63,NULL,Yes,Original,NULL,"The authorities chose to delay 2nd, 3rd, & 4th purchases even though the 1st review was completed and end-March and end-June 1994 p.c. had been observed.",0
7,ESTONIA                            ,939,SBA  ,10/27/1993,1993,3/27/1995,1995,10/27/1993,10/26/1994,P1,R1  ,BLANK,EBS /94/61,STF,1993,CY,11.625,NULL,Yes,Original,NULL,STF attached; 1st purchase SDR 11.625 mn on approval; 2nd purchase 11.625 mn upon completion of 1st review.,1
7,ESTONIA                            ,939,SBA  ,10/27/1993,1993,3/27/1995,1995,10/27/1993,10/26/1994,P1,R2  ,BLANK,EBS /94/61,STF,1993,CY,11.625,NULL,Yes,Original,NULL,NULL,2
161,ESTONIA                            ,939,SBA  ,4/11/1995,1995,7/10/1996,1996,NULL,NULL,P1,OldBoardApproval,E,EBS /95/ 37,NO FACILITY,1995,CY,13.95,NULL,No ,Original,NULL,NULL,-1
161,ESTONIA                            ,939,SBA  ,4/11/1995,1995,7/10/1996,1996,NULL,NULL,P1,OC  ,L,EBS /96/114,NO FACILITY,1995,CY,13.95,NULL,No ,Original,NULL,NULL,0
161,ESTONIA                            ,939,SBA  ,4/11/1995,1995,7/10/1996,1996,NULL,NULL,P1,R1  ,BLANK,EBS /95/184,NO FACILITY,1995,CY,13.95,NULL,No ,Original,NULL,NULL,1
189,ESTONIA                            ,939,SBA  ,7/29/1996,1996,8/28/1997,1997,NULL,NULL,P1,OldBoardApproval,E,EBS//96/114,NO FACILITY,1996,CY,13.95,NULL,No ,Original,NULL,NULL,-1
189,ESTONIA                            ,939,SBA  ,7/29/1996,1996,8/28/1997,1997,NULL,NULL,P1,R1  ,L,EBS/97/52,NO FACILITY,1996,CY,13.95,NULL,No ,Original,NULL,NULL,1
254,ESTONIA                            ,939,SBA  ,12/17/1997,1997,3/16/1999,1999,NULL,NULL,P1,OldBoardApproval,E,EBS/97/212,NO FACILITY,1997,CY,16.1,NULL,No ,Original,NULL,NULL,-1
254,ESTONIA                            ,939,SBA  ,12/17/1997,1997,3/16/1999,1999,NULL,NULL,P1,R1  ,L,EBS/98/90,NO FACILITY,1997,CY,16.1,NULL,No ,Original,NULL,NULL,1
326,ESTONIA                            ,939,SBA  ,3/1/2000,2000,8/31/2001,2001,NULL,NULL,P1,OldBoardApproval,E,EBS/00/18,NO FACILITY,2000,CY,29.34,NULL,No ,Original,NULL,NULL,-1
